intersection_name,latitude,longitude,hour,day_of_week,is_peak_hour,is_weekend,vehicle_flow,congestion_index,accidents_last_12m,climate_condition,intersection_type,risk_label,tenant_id
Av. Caracas con Calle 53,4.644152550247462,-74.07372090159397,10,1,0,0,475.6,0.147,3,1,2,0,bogota
Cra 11 con Calle 93,4.676273142130461,-74.05164200730404,10,6,0,1,623.5,0.157,0,1,1,0,metro_agency
Calle 170 con Cra 7,4.754253974711068,-74.044303004035,13,3,0,0,495.4,0.342,1,0,2,0,bogota
Av. 68 con Calle 26,4.60911366657588,-74.10949541710488,15,4,0,0,719.0,0.23,0,2,1,0,bogota
Cra 30 con Calle 45,4.636503822727528,-74.1031480843415,21,0,0,0,722.8,0.404,1,0,2,0,metro_agency
Calle 13 con Cra 50,4.601975666204653,-74.11217577863856,17,6,1,1,777.8,0.428,2,1,0,1,bogota
Av. Suba con Cra 91,4.724870863101464,-74.09113034733548,8,1,1,0,995.3,0.593,4,2,0,1,bogota
Cra 7 con Calle 116,4.700036754672549,-74.04380169997701,23,4,0,0,796.7,0.327,0,0,0,0,metro_agency
Calle 63 con Av. Caracas,4.651000607354556,-74.07335824402422,19,1,1,0,1856.9,0.479,0,0,0,0,bogota
Av. Boyaca con Calle 80,4.69968027516442,-74.11054892003784,8,3,1,0,1762.9,0.373,0,2,0,1,bogota
Cra 19 con Calle 100,4.685802654131433,-74.06534061069101,5,5,0,1,585.3,0.0,4,0,0,0,metro_agency
Calle 26 con Cra 50,4.607527896234596,-74.11067102391115,23,5,0,1,660.5,0.025,2,0,0,0,bogota
Av. Ciudad de Cali con Calle 80,4.69994739892113,-74.12912038324727,18,1,1,0,951.6,0.554,2,0,2,1,bogota
Cra 7 con Calle 32,4.620366070516043,-74.0764035760999,3,6,0,1,546.2,0.089,6,1,1,0,metro_agency
Cra 7 con Calle 26,4.609667305251906,-74.08280125190484,8,1,1,0,689.0,0.592,1,0,0,0,bogota
Calle 100 con Autopista Norte,4.685681510358713,-74.04556032502526,9,2,1,0,1346.3,0.607,6,0,0,1,bogota
Av. Eldorado con Cra 30,4.647379030400466,-74.1000258582566,5,6,0,1,460.1,0.032,1,0,0,0,metro_agency
Cra 15 con Calle 72,4.659089494153021,-74.05780454188378,9,1,1,0,1106.8,0.728,2,0,1,1,bogota
Calle 80 con Av. Boyaca,4.697724991332541,-74.10812667504788,10,1,0,0,837.9,0.234,1,0,1,0,bogota
Cra 7 con Calle 45,4.634501432426181,-74.06383703076331,16,6,0,1,475.2,0.0,3,0,2,0,metro_agency
Av. Caracas con Calle 53,4.6428452040602854,-74.07460969295015,6,5,0,1,558.8,0.0,5,0,2,0,bogota
Cra 11 con Calle 93,4.676248163892198,-74.05025260132868,16,3,0,0,727.7,0.239,0,0,0,0,bogota
Calle 170 con Cra 7,4.752387381929087,-74.04311159365982,9,1,1,0,1799.1,0.898,1,0,0,1,metro_agency
Av. 68 con Calle 26,4.60846778206166,-74.10964557915669,6,4,0,0,692.9,0.256,0,0,1,0,bogota
Cra 30 con Calle 45,4.636758710171559,-74.09992762201301,6,0,0,0,752.6,0.296,2,0,1,0,bogota
Calle 13 con Cra 50,4.601815184058082,-74.11001305873877,19,4,1,0,1080.5,0.758,2,0,2,1,metro_agency
Av. Suba con Cra 91,4.724067669749075,-74.09160627472939,20,6,0,1,783.2,0.164,5,1,0,0,bogota
Cra 7 con Calle 116,4.699985903321291,-74.04209139705014,13,6,0,1,652.1,0.193,0,1,1,0,bogota
Calle 63 con Av. Caracas,4.651926423365071,-74.07283215096334,13,2,0,0,836.4,0.254,1,1,2,0,metro_agency
Av. Boyaca con Calle 80,4.700493186626639,-74.11121121567642,14,3,0,0,412.7,0.467,1,0,1,0,bogota
Cra 19 con Calle 100,4.686510711808272,-74.06639650295867,20,5,0,1,474.5,0.0,1,1,0,0,bogota
Calle 26 con Cra 50,4.606897234982369,-74.11026073516489,17,1,1,0,1398.2,0.448,1,0,1,0,metro_agency
Av. Ciudad de Cali con Calle 80,4.697201783971685,-74.1258233483736,11,2,0,0,694.3,0.0,1,0,2,0,bogota
Cra 7 con Calle 32,4.619385155980518,-74.07614496337641,18,6,1,1,711.2,0.4,0,1,0,0,bogota
Cra 7 con Calle 26,4.610400942261446,-74.0801082826768,7,4,1,0,1525.8,0.541,0,0,0,0,metro_agency
Calle 100 con Autopista Norte,4.686643182972074,-74.04337571341821,6,4,0,0,596.4,0.216,2,2,2,1,bogota
Av. Eldorado con Cra 30,4.648089374561228,-74.1016890400318,13,2,0,0,744.3,0.031,0,0,0,0,bogota
Cra 15 con Calle 72,4.660230319068243,-74.05602999009244,18,3,1,0,1333.3,0.346,1,1,0,0,metro_agency
Calle 80 con Av. Boyaca,4.6971915387036365,-74.11278192940787,16,0,0,0,495.5,0.357,0,1,0,0,bogota
Cra 7 con Calle 45,4.636769740440228,-74.06334287506665,8,3,1,0,1708.9,0.625,1,0,1,1,bogota
Av. Caracas con Calle 53,4.643047581705361,-74.07350415474491,10,0,0,0,634.2,0.172,0,0,2,0,metro_agency
Cra 11 con Calle 93,4.67599036610251,-74.04911382181767,8,0,1,0,906.5,0.59,0,1,0,1,bogota
Calle 170 con Cra 7,4.751875984758273,-74.04519843904741,10,5,0,1,651.4,0.0,1,1,0,0,bogota
Av. 68 con Calle 26,4.6078551452887115,-74.10966400024331,9,0,1,0,1424.4,0.825,2,0,0,1,metro_agency
Cra 30 con Calle 45,4.635673032942212,-74.099887551442,21,2,0,0,646.5,0.372,0,1,0,0,bogota
Calle 13 con Cra 50,4.603710141460428,-74.10901546696606,8,2,1,0,1107.7,0.501,0,2,1,1,bogota
Av. Suba con Cra 91,4.722849003669018,-74.08859402253304,16,5,0,1,737.8,0.203,1,0,2,0,metro_agency
Cra 7 con Calle 116,4.6992815006973725,-74.04450515992237,8,6,1,1,875.7,0.558,1,1,0,1,bogota
Calle 63 con Av. Caracas,4.648952747120103,-74.07297045723337,6,1,0,0,700.2,0.212,3,1,1,0,bogota
Av. Boyaca con Calle 80,4.69821656820987,-74.11073468488738,18,1,1,0,1414.0,0.607,11,0,0,1,metro_agency
Cra 19 con Calle 100,4.688067102914383,-74.06397889144222,10,3,0,0,646.8,0.348,1,0,2,0,bogota
Calle 26 con Cra 50,4.608908189777492,-74.10989133116894,12,1,0,0,574.4,0.125,1,0,1,0,bogota
Av. Ciudad de Cali con Calle 80,4.697059889921416,-74.12793530217256,12,0,0,0,258.2,0.252,0,0,1,0,metro_agency
Cra 7 con Calle 32,4.61931242133573,-74.07653545672221,18,2,1,0,1145.7,0.336,1,0,0,0,bogota
Cra 7 con Calle 26,4.609210560557482,-74.08065583912293,13,4,0,0,620.4,0.304,1,0,1,0,bogota
Calle 100 con Autopista Norte,4.686963617759949,-74.04532826945142,16,2,0,0,681.9,0.296,1,0,0,0,metro_agency
Av. Eldorado con Cra 30,4.647374286352431,-74.10239658524883,18,4,1,0,1378.3,0.575,1,1,2,1,bogota
Cra 15 con Calle 72,4.659017972658793,-74.05571361258778,8,5,1,1,1395.8,0.116,1,0,0,0,bogota
Calle 80 con Av. Boyaca,4.699795046628925,-74.11222318690477,10,6,0,1,552.7,0.026,1,0,1,0,metro_agency
Cra 7 con Calle 45,4.637282904434465,-74.06451299178187,4,1,0,0,1004.1,0.089,0,0,2,0,bogota
Av. Caracas con Calle 53,4.6414196956013285,-74.07282754267172,20,2,0,0,355.0,0.016,1,0,1,0,bogota
Cra 11 con Calle 93,4.675970667805897,-74.05071892011924,20,3,0,0,230.6,0.115,3,0,1,0,metro_agency
Calle 170 con Cra 7,4.755038112749547,-74.04289896115999,5,6,0,1,503.6,0.244,0,0,2,0,bogota
Av. 68 con Calle 26,4.6066189483425255,-74.1100730348787,8,0,1,0,1188.0,0.385,1,0,0,0,bogota
Cra 30 con Calle 45,4.636285962890657,-74.10208318251799,12,6,0,1,462.4,0.135,4,0,1,0,metro_agency
Calle 13 con Cra 50,4.6006582651315755,-74.10850231347314,7,0,1,0,1133.7,0.604,2,0,0,1,bogota
Av. Suba con Cra 91,4.725365197251624,-74.09064064079128,17,1,1,0,1392.3,0.615,3,1,0,1,bogota
Cra 7 con Calle 116,4.69791081218191,-74.04342034730819,14,6,0,1,863.5,0.03,2,0,0,0,metro_agency
Calle 63 con Av. Caracas,4.650288778989825,-74.07250155504717,22,3,0,0,684.8,0.286,0,0,0,0,bogota
Av. Boyaca con Calle 80,4.699111594970381,-74.10976712091566,13,2,0,0,374.4,0.285,0,0,2,0,bogota
Cra 19 con Calle 100,4.688216943563233,-74.06516069724232,11,3,0,0,774.6,0.331,3,0,1,0,metro_agency
Calle 26 con Cra 50,4.607146191766207,-74.11055030515385,15,2,0,0,760.1,0.227,1,1,2,0,bogota
Av. Ciudad de Cali con Calle 80,4.699711692056119,-74.12721527357824,21,6,0,1,465.7,0.0,0,0,1,0,bogota
Cra 7 con Calle 32,4.618254233940901,-74.07622317810895,6,0,0,0,674.9,0.187,1,2,0,0,metro_agency
Cra 7 con Calle 26,4.608063275008701,-74.08049430853991,9,5,1,1,815.1,0.375,1,0,0,0,bogota
Calle 100 con Autopista Norte,4.687138789159026,-74.04453091597277,13,0,0,0,676.4,0.265,1,0,1,0,bogota
Av. Eldorado con Cra 30,4.647667753572762,-74.10199988552536,20,4,0,0,393.0,0.229,0,0,1,0,metro_agency
Cra 15 con Calle 72,4.658860094072875,-74.05709068240076,8,2,1,0,1826.5,0.579,2,1,0,1,bogota
Calle 80 con Av. Boyaca,4.698197965189655,-74.11042096957453,16,6,0,1,643.5,0.0,0,1,2,0,bogota
Cra 7 con Calle 45,4.637531125852282,-74.06339485742673,17,3,1,0,877.0,0.7,0,1,2,1,metro_agency
Av. Caracas con Calle 53,4.643489900080038,-74.07409142551668,17,4,1,0,1124.3,0.509,2,2,2,1,bogota
Cra 11 con Calle 93,4.675459949117405,-74.05159314532364,10,5,0,1,565.4,0.002,1,0,0,0,bogota
Calle 170 con Cra 7,4.753489608159928,-74.0455813939833,5,2,0,0,479.8,0.268,0,0,2,0,metro_agency
Av. 68 con Calle 26,4.608153415558781,-74.10979579889604,8,3,1,0,1615.3,0.685,2,1,2,1,bogota
Cra 30 con Calle 45,4.638755776199563,-74.10072110646009,5,4,0,0,587.5,0.0,1,1,2,0,bogota
Calle 13 con Cra 50,4.602475366850003,-74.110139523793,5,5,0,1,402.1,0.141,1,0,1,0,metro_agency
Av. Suba con Cra 91,4.724347497796837,-74.08894954523218,8,3,1,0,918.8,0.477,1,0,0,0,bogota
Cra 7 con Calle 116,4.698299095980638,-74.04339494967829,14,1,0,0,699.9,0.006,1,1,0,0,bogota
Calle 63 con Av. Caracas,4.65406805218223,-74.07559218424882,15,1,0,0,849.5,0.115,0,0,2,0,metro_agency
Av. Boyaca con Calle 80,4.699167751224365,-74.11150367456797,7,4,1,0,1567.4,0.844,1,2,0,1,bogota
Cra 19 con Calle 100,4.687709539272006,-74.06690997715829,11,6,0,1,927.8,0.156,0,2,1,0,bogota
Calle 26 con Cra 50,4.608202464774303,-74.108968937086,14,0,0,0,379.8,0.093,0,1,0,0,metro_agency
Av. Ciudad de Cali con Calle 80,4.697887721722887,-74.12798659993673,15,5,0,1,621.7,0.0,0,0,0,0,bogota
Cra 7 con Calle 32,4.618579326406921,-74.07498599052536,9,5,1,1,1367.5,0.411,1,0,1,0,bogota
Cra 7 con Calle 26,4.608950820759371,-74.0814746572463,17,5,1,1,835.6,0.32,2,1,1,1,metro_agency
Calle 100 con Autopista Norte,4.686492176913931,-74.04420666933305,17,0,1,0,1246.6,0.97,2,0,2,1,bogota
Av. Eldorado con Cra 30,4.648168441006256,-74.10180040588672,18,5,1,1,1171.1,0.399,3,1,0,1,bogota
Cra 15 con Calle 72,4.660446691605772,-74.05741625601594,8,0,1,0,1069.8,0.518,1,0,1,1,metro_agency
Calle 80 con Av. Boyaca,4.699107757670311,-74.11064601158155,21,5,0,1,786.4,0.0,0,0,2,0,bogota
Cra 7 con Calle 45,4.637156436342345,-74.06276051134058,11,4,0,0,745.2,0.131,0,0,0,0,bogota
Av. Caracas con Calle 53,4.643136938169746,-74.07250935372521,15,6,0,1,580.1,0.0,0,0,2,0,metro_agency
Cra 11 con Calle 93,4.677573565143186,-74.04855075837794,8,3,1,0,1485.2,0.664,8,0,1,1,bogota
Calle 170 con Cra 7,4.754568217721817,-74.04526290533875,7,4,1,0,1438.2,0.451,2,0,0,0,bogota
Av. 68 con Calle 26,4.607183342790168,-74.10957482320347,12,0,0,0,802.4,0.248,0,1,2,0,metro_agency
Cra 30 con Calle 45,4.6362698845329,-74.10144078198165,8,4,1,0,1150.0,0.597,3,1,0,1,bogota
Calle 13 con Cra 50,4.60279417944168,-74.11091088989157,4,0,0,0,758.6,0.384,1,0,2,0,bogota
Av. Suba con Cra 91,4.725096047685806,-74.09195679508856,10,4,0,0,838.9,0.378,0,0,2,0,metro_agency
Cra 7 con Calle 116,4.698547140045709,-74.04305901321023,15,1,0,0,427.7,0.068,1,0,0,0,bogota
Calle 63 con Av. Caracas,4.6536562071299405,-74.07480320836572,14,1,0,0,765.9,0.145,0,0,0,0,bogota
Av. Boyaca con Calle 80,4.698897398332391,-74.10857105344425,20,5,0,1,642.1,0.077,1,1,0,0,metro_agency
Cra 19 con Calle 100,4.686805628249965,-74.06568589324972,7,5,1,1,1406.6,0.474,1,0,2,1,bogota
Calle 26 con Cra 50,4.607459851085563,-74.109837330001,16,2,0,0,597.3,0.28,2,0,0,0,bogota
Av. Ciudad de Cali con Calle 80,4.697690976742714,-74.12895052045421,18,4,1,0,943.1,0.579,0,1,2,1,metro_agency
Cra 7 con Calle 32,4.620687044111719,-74.07598750831974,17,2,1,0,1530.0,0.471,1,0,2,1,bogota
Cra 7 con Calle 26,4.611426963851233,-74.08209963618562,1,0,0,0,663.9,0.182,0,0,2,0,bogota
Calle 100 con Autopista Norte,4.68571921793735,-74.04366573908283,19,2,1,0,1318.2,0.469,1,1,0,1,metro_agency
Av. Eldorado con Cra 30,4.647681563034984,-74.10109344253824,4,1,0,0,401.3,0.441,2,1,1,0,bogota
Cra 15 con Calle 72,4.659778252491617,-74.05712648409884,10,5,0,1,456.6,0.0,4,1,1,0,bogota
Calle 80 con Av. Boyaca,4.69774466948561,-74.11341410730049,18,2,1,0,912.2,0.646,6,0,0,1,metro_agency
Cra 7 con Calle 45,4.63579984592352,-74.06460367375018,20,3,0,0,440.1,0.196,4,1,1,0,bogota
Av. Caracas con Calle 53,4.642945277837778,-74.07357093520176,8,2,1,0,1465.9,0.496,1,0,2,1,bogota
Cra 11 con Calle 93,4.677602406569151,-74.05020325010503,13,4,0,0,502.2,0.0,1,1,2,0,metro_agency
Calle 170 con Cra 7,4.75339530059556,-74.04500734559876,4,3,0,0,708.5,0.388,1,0,0,0,bogota
Av. 68 con Calle 26,4.607736559804158,-74.1089960651589,5,5,0,1,925.9,0.153,5,0,0,0,bogota
Cra 30 con Calle 45,4.635571997058771,-74.10240903371165,11,2,0,0,723.8,0.509,1,1,0,0,metro_agency
Calle 13 con Cra 50,4.603067232299422,-74.10871195584393,9,5,1,1,1046.9,0.454,0,2,1,1,bogota
Av. Suba con Cra 91,4.7236368351335285,-74.08992936893934,13,5,0,1,343.4,0.0,2,0,0,0,bogota
Cra 7 con Calle 116,4.699388899298033,-74.04337191200106,8,6,1,1,987.8,0.229,2,0,1,0,metro_agency
Calle 63 con Av. Caracas,4.652023599065593,-74.07367578054333,7,5,1,1,1099.6,0.339,0,0,2,0,bogota
Av. Boyaca con Calle 80,4.698038079621984,-74.11033645405931,21,6,0,1,882.4,0.0,0,2,2,0,bogota
Cra 19 con Calle 100,4.68749644233956,-74.06428288493267,16,2,0,0,958.6,0.234,1,1,0,0,metro_agency
Calle 26 con Cra 50,4.607801632189769,-74.10835895337027,11,4,0,0,576.4,0.311,1,0,0,0,bogota
Av. Ciudad de Cali con Calle 80,4.6994213160519225,-74.1285646172973,19,2,1,0,1684.6,0.552,4,1,0,1,bogota
Cra 7 con Calle 32,4.619842612398214,-74.07607993036703,7,0,1,0,1260.3,0.73,1,1,0,1,metro_agency
Cra 7 con Calle 26,4.609458742345382,-74.08223532818594,7,0,1,0,1390.4,0.766,6,2,0,2,bogota
Calle 100 con Autopista Norte,4.68651962394578,-74.04468201893076,16,1,0,0,581.9,0.281,4,1,0,0,bogota
Av. Eldorado con Cra 30,4.648379234034313,-74.10197168703753,5,0,0,0,223.0,0.156,0,0,2,0,metro_agency
Cra 15 con Calle 72,4.658674066635016,-74.05611390935925,14,0,0,0,779.8,0.386,1,1,1,0,bogota
Calle 80 con Av. Boyaca,4.701287534365697,-74.11095658793018,7,3,1,0,1279.5,0.696,10,0,0,1,bogota
Cra 7 con Calle 45,4.634351237077877,-74.06459529769559,15,1,0,0,119.4,0.169,0,0,1,0,metro_agency
Av. Caracas con Calle 53,4.642495064962186,-74.07369313174506,12,0,0,0,660.9,0.167,0,0,0,0,bogota
Cra 11 con Calle 93,4.67510574276949,-74.04947067517607,0,5,0,1,659.6,0.043,0,0,0,0,bogota
Calle 170 con Cra 7,4.753000888147797,-74.0450528967724,8,0,1,0,1025.4,0.552,1,1,2,1,metro_agency
Av. 68 con Calle 26,4.608135494277922,-74.10921213667281,10,3,0,0,715.8,0.252,0,1,2,0,bogota
Cra 30 con Calle 45,4.636168743032908,-74.10162314811704,0,5,0,1,683.9,0.242,2,0,0,0,bogota
Calle 13 con Cra 50,4.604026968531056,-74.10984836729834,5,6,0,1,494.7,0.226,2,0,0,0,metro_agency
Av. Suba con Cra 91,4.7267781098736386,-74.09168565117609,16,4,0,0,385.0,0.209,0,0,0,0,bogota
Cra 7 con Calle 116,4.698459165637194,-74.04450969376953,4,4,0,0,486.0,0.293,3,0,2,0,bogota
Calle 63 con Av. Caracas,4.65061321395426,-74.07221797750638,10,2,0,0,693.0,0.0,0,1,1,0,metro_agency
Av. Boyaca con Calle 80,4.696784080004529,-74.11156551318477,7,4,1,0,1078.7,0.619,0,0,1,1,bogota
Cra 19 con Calle 100,4.685132702646889,-74.06705097326244,18,1,1,0,1262.5,0.641,7,0,2,1,bogota
Calle 26 con Cra 50,4.608628982425061,-74.11157087615207,8,4,1,0,658.9,0.547,3,2,0,1,metro_agency
Av. Ciudad de Cali con Calle 80,4.698442826559319,-74.1272512334974,13,4,0,0,374.6,0.595,0,1,0,0,bogota
Cra 7 con Calle 32,4.619993951871994,-74.07883028752275,7,4,1,0,821.6,0.47,1,0,1,0,bogota
Cra 7 con Calle 26,4.610155061138939,-74.08093922725033,23,3,0,0,542.8,0.043,0,1,0,0,metro_agency
Calle 100 con Autopista Norte,4.687180121388969,-74.04327394974922,19,6,1,1,1279.8,0.665,3,0,2,1,bogota
Av. Eldorado con Cra 30,4.648136391372284,-74.10209306229264,14,1,0,0,589.7,0.688,1,2,0,1,bogota
Cra 15 con Calle 72,4.6599895806812555,-74.05630644327772,11,3,0,0,704.2,0.297,0,1,0,0,metro_agency
Calle 80 con Av. Boyaca,4.700025936581479,-74.10939177592216,15,6,0,1,50.0,0.133,0,1,1,0,bogota
Cra 7 con Calle 45,4.636756617104626,-74.0637028971441,17,0,1,0,931.7,0.497,2,0,1,1,bogota
Av. Caracas con Calle 53,4.643170322310528,-74.07555583777095,17,3,1,0,1554.7,0.507,1,1,0,1,metro_agency
Cra 11 con Calle 93,4.676680556188355,-74.05129802983717,15,4,0,0,606.0,0.291,2,0,0,0,bogota
Calle 170 con Cra 7,4.753459932630267,-74.04412262306204,8,6,1,1,971.0,0.377,1,0,1,0,bogota
Av. 68 con Calle 26,4.607706085197017,-74.10967369906517,9,0,1,0,989.5,0.688,7,0,0,1,metro_agency
Cra 30 con Calle 45,4.636300207064918,-74.10170930032113,10,6,0,1,685.5,0.0,0,1,0,0,bogota
Calle 13 con Cra 50,4.601832869784289,-74.11077622087355,4,5,0,1,534.4,0.023,0,0,0,0,bogota
Av. Suba con Cra 91,4.7232575995174635,-74.09078952415611,17,6,1,1,1462.3,0.383,2,0,1,0,metro_agency
Cra 7 con Calle 116,4.69965848454353,-74.04593251957077,8,2,1,0,1257.5,0.61,2,0,2,1,bogota
Calle 63 con Av. Caracas,4.650768830114195,-74.07228295617905,11,1,0,0,603.4,0.391,1,0,0,0,bogota
Av. Boyaca con Calle 80,4.700502253225607,-74.11188941189286,18,5,1,1,1118.1,0.455,1,1,0,1,metro_agency
Cra 19 con Calle 100,4.687191730377253,-74.0657831782689,16,5,0,1,928.5,0.0,3,0,1,0,bogota
Calle 26 con Cra 50,4.608208972237399,-74.10997753410719,18,0,1,0,1131.4,0.451,0,0,0,0,bogota
Av. Ciudad de Cali con Calle 80,4.697708294086103,-74.12879161756982,16,3,0,0,709.4,0.0,0,1,1,0,metro_agency
Cra 7 con Calle 32,4.619755573653713,-74.07562978010273,9,4,1,0,1494.3,0.489,0,0,1,0,bogota
Cra 7 con Calle 26,4.6118264355889735,-74.08126702331727,11,5,0,1,735.4,0.047,1,1,1,0,bogota
Calle 100 con Autopista Norte,4.6883478614360765,-74.04327713604626,15,3,0,0,465.8,0.294,2,2,1,1,metro_agency
Av. Eldorado con Cra 30,4.646510919883852,-74.10255582147433,20,5,0,1,703.5,0.0,0,0,0,0,bogota
Cra 15 con Calle 72,4.660084652775905,-74.05695760796371,21,2,0,0,460.2,0.388,1,0,1,0,bogota
Calle 80 con Av. Boyaca,4.699025887206193,-74.11068085222257,19,3,1,0,1537.0,0.667,9,0,1,1,metro_agency
Cra 7 con Calle 45,4.635150188592834,-74.06488995015516,17,4,1,0,1322.3,0.679,6,0,1,1,bogota
Av. Caracas con Calle 53,4.6461958777896,-74.07516340595843,12,2,0,0,693.7,0.073,1,2,0,0,bogota
Cra 11 con Calle 93,4.677907513689837,-74.05151117192928,12,2,0,0,883.9,0.11,0,0,0,0,metro_agency
Calle 170 con Cra 7,4.753182047946732,-74.04551065219624,7,4,1,0,1419.2,0.673,7,0,2,1,bogota
Av. 68 con Calle 26,4.6088111549302475,-74.11250421385662,19,1,1,0,1143.3,0.738,2,0,2,1,bogota
Cra 30 con Calle 45,4.634521412415994,-74.10138034817408,17,6,1,1,1259.7,0.585,0,0,2,1,metro_agency
Calle 13 con Cra 50,4.603557774606995,-74.10919300958702,11,4,0,0,790.6,0.0,4,0,2,0,bogota
Av. Suba con Cra 91,4.723502489805308,-74.0897776301383,15,0,0,0,418.5,0.162,3,0,2,0,bogota
Cra 7 con Calle 116,4.69685077995699,-74.04292798430097,14,0,0,0,342.0,0.0,2,2,1,0,metro_agency
Calle 63 con Av. Caracas,4.652265924252054,-74.07327841338939,17,6,1,1,882.2,0.054,3,2,1,1,bogota
Av. Boyaca con Calle 80,4.700041132731531,-74.11109915179284,8,2,1,0,1392.5,0.433,2,0,0,0,bogota
Cra 19 con Calle 100,4.686662056452652,-74.06533097593187,17,0,1,0,1290.0,0.591,4,0,1,1,metro_agency
Calle 26 con Cra 50,4.609893582769309,-74.11122687553451,17,2,1,0,1256.1,0.634,9,0,0,1,bogota
Av. Ciudad de Cali con Calle 80,4.6997133439519825,-74.12875743215756,10,5,0,1,513.1,0.183,0,1,0,0,bogota
Cra 7 con Calle 32,4.619840059366862,-74.07632728993964,9,1,1,0,1049.1,0.412,1,2,0,1,metro_agency
Cra 7 con Calle 26,4.6088714845638625,-74.08236278447879,22,1,0,0,546.5,0.427,0,0,0,0,bogota
Calle 100 con Autopista Norte,4.6872959356756265,-74.0442026727374,12,1,0,0,789.7,0.007,0,2,0,0,bogota
Av. Eldorado con Cra 30,4.645952201891616,-74.10223055816914,15,6,0,1,437.5,0.307,2,1,1,0,metro_agency
Cra 15 con Calle 72,4.658573527871689,-74.05632794255828,0,3,0,0,710.3,0.251,2,0,0,0,bogota
Calle 80 con Av. Boyaca,4.698950341779228,-74.11040214390579,10,4,0,0,587.6,0.414,3,1,0,0,bogota
Cra 7 con Calle 45,4.636589707805245,-74.0651837656656,17,2,1,0,1724.9,0.807,0,0,2,1,metro_agency
Av. Caracas con Calle 53,4.643107876782375,-74.07324746856364,8,1,1,0,992.8,0.59,1,0,2,1,bogota
Cra 11 con Calle 93,4.674411437738208,-74.05089639521793,17,2,1,0,1475.0,0.496,2,0,0,0,bogota
Calle 170 con Cra 7,4.7530128693502105,-74.04444541121792,18,0,1,0,1522.3,0.646,8,1,0,1,metro_agency
Av. 68 con Calle 26,4.60874363200347,-74.10910962810395,8,6,1,1,1195.8,0.297,0,0,0,0,bogota
